Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF","C_0402_1005Metric",162.024000,-64.262000,180.000000,top
"C2","0.1uF","C_0402_1005Metric",162.052000,-62.992000,180.000000,top
"C3","10uF","C_0402_1005Metric",168.882000,-67.818000,0.000000,top
"C4","0.1uF","C_0402_1005Metric",168.882000,-66.548000,0.000000,top
"C5","10uF","C_0402_1005Metric",168.882000,-69.088000,0.000000,top
"C6","0.1uF","C_0402_1005Metric",168.910000,-70.358000,0.000000,top
"J1","SFP","Connector_SFP_and_Cage",152.400000,-71.120000,0.000000,top
"L1","220@100MHz","L_0402_1005Metric",168.910000,-65.278000,180.000000,top
"L2","220@100MHz","L_0402_1005Metric",168.933000,-64.008000,180.000000,top
"R1","4.7k","R_0402_1005Metric",162.050000,-67.056000,180.000000,top
"R2","4.7k","R_0402_1005Metric",162.054000,-70.104000,180.000000,top
"R3","4.7k","R_0402_1005Metric",162.052000,-68.580000,0.000000,top
"U1","Pmod_connector","PMOD_EXTENSION_BOARD",174.990000,-71.050000,90.000000,top
